kapampangan,english
buri nang tom kayabe ne i mary.,tom wished he was with mary.
nanung kakanan nang tom neng paugtwan?,what does tom eat for lunch?
atin kang payntunan?,are you looking for somebody?
malyari tayang pisabyan ini kaybat?,can we talk about this later?
gawan mu ing agyu mu at eka migaganaka.,do your best and don't worry.
minta naka mexico?,have you ever been to mexico?
ikit mu ne ing pasaporti nang tom?,have you seen tom's passport?
timpak ne ing bag na king lamesa.,he laid his bag on the table.
taganang masalese yang tigtig pianu.,he plays the piano very well.
mangibili kang sisilyu king kahun.,he put some coins in the box.
mekatapilan naka minta?,how many times have you gone?
eku agyung saling kotsi.,i cannot afford to buy a car.
eku bisang munta king iskwela.,i don't want to go to school.
eku bisang lungub.,i don't want to go to school.
dakal ku credit card.,i have a lot of credit cards.
kaylangan kung manigaral para king pamagsulit.,i have to study for the exam.
ala ku pang apayntun.,i haven't found anything yet.
balu kung maulaga keka.,i know it's important to you.
patingapun ku king kekami napun.,i was home all day yesterday.
eku tatakut kareng maglalage,i'm not frightened of ghosts.
mapagal nakung manaya king pila.,i'm tired of waiting in line.
susubukan kung makatudtud.,i'm trying to get some sleep.
malyari keng andaman ing diksyunaryu mo?,may i borrow your dictionary?
parama'nang diksyunaryo?,may i borrow your dictionary?
balamu alang manibala.,nobody seems to be in charge.
e tana balu nung nanung gawan tamu.,now we don't know what to do.
kulang ya ing metung a amanu.,one language is never enough.
atin yang tatalnan a sampaga.,she has a flower in her hand.
taganang mal ya ing kotsing yan.,that car is really expensive.
makanyan dakung peparagul.,that's just how i was raised.
tinagun ya king boston banwang metung i tom.,tom visited boston last year.
buri neng sagipan tom ing yatu.,tom wanted to save the world.
buri neng iligtas tom ing yatu.,tom wanted to save the world.
buri nakaming makisabi kekang tom.,tom wanted us to talk to you.
e makiramdam kang mary i tom.,tom wasn't listening to mary.
nanung gewa tamu king metung at metung?,what did we do to each other?
atin kang trenta minutus a mitatagan.,you have thirty minutes left.
magaral ka bukas.,you'll go to school tomorrow.
"salamat. ""alang nanu naman.""","thank you. ""you're welcome."""
e balang kikislap gintu.,all that glitters is not gold.
buri mung gawan ine o ali?,do you want to do this or not?
balang lima yang aldong daratang keni.,he comes here every five days.
makananu neng alutas tom ing prublema?,how did tom solve the problem?
pilan ya bulan ing mars?,how many moons does mars have?
pasalamat ku kareng anak ku.,i am thankful for my children.
pasalamat ku kareng ana'ku.,i am thankful for my children.
sinali kung libru tungkul kareng animal.,i bought a book about animals.
eku pa miras karin.,i had never been there before.
atin kung planu kayabe ya i tom potang bengi.,i have plans with tom tonight.
taganang eku balu ing sabian ku.,i just don't know what to say.
kaylangan kung saling lasun dagis.,i need to buy some rat poison.
king palage ku akalingwan neng tom ing kayang camera.,i think tom forgot his camera.
bala ku taga boston ya i tom.,i thought tom was from boston.
bala ku tau ya boston i tom.,i thought tom was from boston.
buri rakang kutnan tungkul kang tom.,i'd like to ask you about tom.
"matwa ku, oneng ekupa makanyan katwa.","i'm old, but i'm not that old."
ita ing busal ning pisasabian.,that's the crux of the matter.
tinikdo ya ing matwang lalaki king babo talimunduk.,the old man stood on the hill.
tinikdo ya ing matwang lalaki king babo bunduk-bundukan.,the old man stood on the hill.
ena ikwang tom ing buri na.,tom didn't get what he wanted.
e minta king ospital i tom.,tom didn't go to the hospital.
e lupang doktor i tom.,tom didn't look like a doctor.
e migpalto anyang apunan i tom.,tom didn't show up for dinner.
balamu e nakatamu daramdaman tom.,tom doesn't appear to hear us.
e mapamangan karni i tom.,tom doesn't eat a lot of meat.
ene man balung tom ing lagyu ku.,tom doesn't even know my name.
ala yang tau i tom.,tom doesn't have a girlfriend.
e kaylangang manayang malambat i tom.,tom doesn't have long to wait.
ena balung tom a atyu i mary.,tom doesn't know mary is here.
ena balung tom nung nanu ita.,tom doesn't know what that is.
enaku masyadung buring tom.,tom doesn't like me very much.
balamu e bitasang mapagal i tom.,tom doesn't seem tired at all.
migmaneu ya i tom king metung a dalan king disyertu.,tom drove along a desert road.
ayari nong inos tom deng pinggan.,tom finished doing the dishes.
atin yang tatalnan i tom.,tom had something in his hand.
atin yang asawa ampong atlung anak i tom.,tom has a wife and three kids.
dayu ya ing asawa nang tom.,tom is married to a foreigner.
balu nang tom a magigisan na ing panaun.,tom knows time is running out.
pota e miratang king ustung oras i tom.,tom might not make it in time.
meki-kaluguran tana kang tom.,we have made friends with tom.
meki-kaluguran nakami kang tom.,we have made friends with tom.
pepabalu mi ing kayang pangawala.,we reported his disappearance.
belita mi ing kayang pangawala.,we reported his disappearance.
simbung mi ing kayang pangawala.,we reported his disappearance.
nanung gewa yu king metung at metung?,what did you do to each other?
mipagnanu kayu?,what did you do to each other?
king palage mu nananu ku?,what do you think i was doing?
keraklan nanu kang oras maugtu?,when do you usually eat lunch?
nukarin yang grupu ing kaluguran mu?,which group is your friend in?
ot ala yang gagawan i tom?,why isn't tom doing something?
gawan mung pasibayu ita?,are you going to do that again?
gawan mung pasibayu yan?,are you going to do that again?
atin lang pamalak deng sabla.,everyone has their own opinion.
makananu kung miras king sumangid?,how do i get to the other side?
makananu mung sabyan ita king italianu?,how do you say that in italian?
eke buri ing binye na kakung tom.,i didn't like what tom gave me.
ekuna sa sinabi kang tom ita.,i wish i'd never told tom that.
sana ekuna sinabi kang tom ita.,i wish i'd never told tom that.
sayang ing panaun ampo ing pera.,it's a waste of time and money.
balu na sigurung maryng buri ke.,mary probably knows i like her.
ala yang kasing-ulaga ing lugud.,nothing is as precious as love.
simbut no ngan deng premyu.,she carried off all the prizes.
simbut no ngan deng galal.,she carried off all the prizes.
dakal ya imalan.,she has quite a lot of clothes.
mabilis yang menik king eran.,she quickly went up the stairs.
mibalik ya kilub ning metung a oras.,she will return within an hour.
pakit mu kaku ing agyu mung daptan.,show me what you're capable of.
ala ya ang inamin.,so far he has admitted nothing.
mesira ya ing lakanbalen uling king silab.,the city was destroyed by fire.
mesira ya ing syudad uling king silab.,the city was destroyed by fire.
atin yang bageng gawa king balat ing tindahan.,the shop carried leather goods.
ini ing malyari.,this is what's going to happen.
ini ing marapat.,this is what's going to happen.
taganang matenakan ya i tom.,tom certainly is knowledgeable.
e maybug manigaral i tom.,tom doesn't feel like studying.
mesipit ya i tom king trapik.,tom got stuck in a traffic jam.
mas matas yang bagya kesa kaku i tom.,tom is a little taller than me.
magmaneu ya papunta king ospital i tom.,tom is driving to the hospital.
megobra ya i tom anggang malalam ing bengi.,tom worked until late at night.
nanung milyari kareng pengari nang tom?,what happened to tom's parents?
"karatang na, menyangkap kung kape.","when he arrived, i made coffee."
ot linwal ka king twitter?,why did you quit using twitter?
ika ing pekamatas a tau keni.,you're the tallest person here.
panintunan ning bingut ing gatas ning ima na.,a baby craves its mother's milk.
abalitan mu na ing tungkul kang tom ampo kang mary?,did you hear about tom and mary?
eme ikit i tom king party?,didn't you see tom at the party?
eme ikit i tom king sulu-sulu?,didn't you see tom at the party?
emu pabureng isinup ne ining letratu.,don't let him keep this picture.
emo buring akit deng anak mo?,don't you want to see your kids?
atin lang pamalak deng sabla.,everybody has their own opinion.
kokomustan na ing kekang pamikakatan.,he was asking about your health.
kokomustan na ing kekang kabulasan.,he was asking about your health.
eku balu nung atin kung oras.,i don't know if i have the time.
tabalu nung atin kung oras.,i don't know if i have the time.
bisa kung saling metung a dusenang donat.,i want to buy a dozen doughnuts.
eku pabureng ating malyaring marok.,i won't let anything bad happen.
puntalan daka kilub ning apulung minutu.,i'll be with you in ten minutes.
sinayad ku. matudtud naku.,i'm exhausted. i'm going to bed.
"panupaya yu, mitawli ku. eku gad migising.",i'm sorry i'm late. i overslept.
siguradu kung pansamantala mu ini.,i'm sure this is only temporary.
e marapat kang tom ita.,it's not going to happen to tom.
e malyari kang tom ita.,it's not going to happen to tom.
migkulung ya king kwartu na.,she shut herself up in her room.
keraklan keni lang kwartu matudud.,they usually sleep in this room.
kaylangan yang larinan ining trak.,this truck is in need of repair.
ena apigil tom ing kayang mwa.,tom couldn't suppress his anger.
enaku penyaling tom king kaylangan ku.,tom didn't buy me what i needed.
nanu lang klasing kwat?,what kind of mushrooms are they?
ot emu ne mu pabureng sumaup i tom?,why don't you just let tom help?
"atatandanan ye ngan i tom, e wari?","you all remember tom, don't you?"
ala kang bitasang balu kaku.,you don't know a thing about me.
mabunduk yang bangsa ing armenia.,armenia is a mountainous country.
mas matwa yang atlung banwa kesa kaku.,he's three years older than i am.
eku mekatudtud masalese nabengi.,i couldn't sleep well last night.
atin kung bayung paris a medyas.,i have a brand new pair of socks.
balaku salwan neng tom ing kotsing yan.,i thought tom would buy that car.
buri ku patdan me ing radyu.,i want you to turn off the radio.
bisa kung saling aspirin.,i would like to buy some aspirin.
param ku keka ing perang buri mu.,i'll loan you the money you want.
paraman daka ketang perang buri mu.,i'll loan you the money you want.
bala nang mary malsinta ku kaya.,mary thinks i'm in love with her.
panamdaman nong gagalgal deng tud na.,she could feel her knees shaking.
tatakut yang lumipat king dalan.,she was scared to cross the road.
mas masanting ing atin kesa king ala.,something is better than nothing.
lima lang pulu deng kayanib king aguman.,there are 50 members in the club.
alus e mangutang tungkul kanita i tom.,tom almost never asks about that.
ene pa ikit tom makanyan kasaya i mary.,tom had never seen mary so happy.
linundag ya i tom palwal king helicopter.,tom jumped out of the helicopter.
pepabye ne kakung tom kang mary ini.,tom told me to give this to mary.
penaya neng mibalik tom i mary.,tom waited for mary to come back.
menaya ya king arap ning bale i tom.,tom waited in front of the house.
minta ya king suluk i tom at kinyak ya.,tom went into a corner and cried.
ot inaus muku keni?,what did you call me in here for?
mas masanting ka katawan kesa kaku.,you're in better shape than i am.
alus ikami ngan byasang magsalitang pranses.,almost all of us can speak french.
atyu la king kekayu deng pengari mo?,are your parents going to be home?
king palage mu ligtas gawan ita?,do you think it's safe to do that?
e ya mekigalame kaku.,he refused to shake hands with me.
makananu ka nung ala kang obra?,how will you manage without a job?
eku balung makatuknang ya king boston i tom.,i didn't know tom lived in boston.
ala kung kabalu-balu tungkul kaniti.,i didn't know anything about this.
king palage ku gewa nang tom ing agyu na.,i think tom did the best he could.
payntunan ku ing pangamestru.,i'm going to miss being a teacher.
payntunan ku ing pangamestra.,i'm going to miss being a teacher.
payntunan ku ing pangatalaturu.,i'm going to miss being a teacher.
inaus naku ning bos ku king kayang upisina.,my boss called me into his office.
apakan no kaya deng gule na.,she got him to eat his vegetables.
buri neng pakaban ning syudad ing dalan.,the city wants to extend the road.
buri neng pakaban ning lakanbalen ing dalan.,the city wants to extend the road.
buri neng pakaban ning ciudad ing dalan.,the city wants to extend the road.
keni ya pekamalapad ing ilug.,the river is widest at this point.
pota makasara ne ing tindahan.,the store might be closed already.
ala kung akarapat kanita.,there's nothing i can do about it.
metung la pang aldong miyabe-abe.,they stayed one more day together.
matibe ya pundasyun ing baleng ini.,this house has a solid foundation.
binwat neng tom i maria kareng pago na.,tom carried mary on his shoulders.
atin yang buring sabian i tom.,tom has something he wants to say.
kinera neng tom ing raketa king gabun.,tom laid the racket on the ground.
manuknangan ya king marangle king california.,tom lives on a farm in california.
dapat pepasaup ya i tom kang mary.,tom should've asked mary for help.
dela nang tom ing eganagana king upisina na.,tom took everything to his office.
dela nang tom ing sabla king upisina na.,tom took everything to his office.
alas singku keng miras king istasyun.,we arrived at the station at five.
"neng miminum ya i tom, deng eganagana miminum la.","when tom drinks, everybody drinks."
bisa kang inuman?,would you like something to drink?
bisa kang minom?,would you like something to drink?
atin kang buring inuman?,would you like something to drink?
siguradu kang makasadya ka kanine?,are you sure you're ready for this?
siguradu kang makasadya ka kanite?,are you sure you're ready for this?
pakilako mu ining basura keni.,can you get this trash out of here?
pakisalangyan mu ne mo ing radyo?,could you please turn the radio on?
atin kang problema kanita?,do you have any problems with that?
dininan danakang palayo?,have they given you a nickname yet?
makananu mung babalakang bayaran ita?,how do you plan on paying for that?
pilan la reng malapit mung kaluguran?,how many close friends do you have?
makapagsalita kung dakal a amanu ning africa.,i can speak many african languages.
king palage ku ene pa ikit tom i mary.,i don't think tom has met mary yet.
eraka dapat dela keni.,i never should've brought you here.
magaling ya kanung maglutu.,it is said that she is a good cook.
misan ya paruminggung manalbeng sine.,she goes to the movies once a week.
makakawa lang danum deng aliwang klasing pamangan.,some kinds of food make us thirsty.
sisiran dong ane deng bale.,termites are destroying the houses.
buri rang abalu nung nanung malilyari.,they want to know what's happening.
ene bisang kumabye i tom.,tom didn't want to live any longer.
kinangwa yang kwalta kang tata na i tom.,tom got some money from his father.
sinopan neng tom tumakas king sukulan i mary.,tom helped mary escape from prison.
magsadya yang magobra i tom.,tom is getting ready to go to work.
e bitasang punta kareng lugal a anti kanita i tom.,tom never goes to places like that.
minta ya king boston i tom atlu nang banwa ing milabas.,tom went to boston three years ago.
e makanyan kalagwang kumbinsyan i tom,tom won't be that easy to convince.
eta malyaring magkanwaring e milyari ita.,we can't pretend it never happened.
mika pamagsulit tamu king pranses keng lunis.,we'll have a french test on monday.
maki masabal kami king payntungulan nang tom.,we're concerned about tom's future.
migaganaka kami king payntungulan nang tom.,we're concerned about tom's future.
ot pipiling ka?,what are you shaking your head for?
ot eka bisang tuki kekami?,why don't you want to come with us?
sabian mu kekami ing eganagana.,you're going to tell us everything.
ika ing migdala kaku keni.,you're the one who brought me here.
apanintun meng kwartu ing kapatad kung babai?,could you find a room for my sister?
pepaula naka?,have you ever had your fortune told?
pepakit na kaku nung makananu yang gamitan ining kamera.,he showed me how to use this camera.
aliwa neng tau ketang kakilala ku.,he's not the same man he used to be.
mete ya ing asawa na king aksidenti.,his wife was killed in the accident.
king palage ku balu mu ing kaylangan tang gawan.,i think you know what we have to do.
patingapun kung atyu king pagkeran napun.,i was in bed all day long yesterday.
"nung taganang mabye ya i tom, nukarin ya?","if tom is really alive, where is he?"
yan mu ing sabian mu kako?,is that all you're going to tell me?
bukas taya pisabyan ing prublemang ita.,let's discuss that problem tomorrow.
pepagaral ne ning ingkung na.,she was educated by her grandfather.
siryosuan mong bagya deng bage.,take things a little more seriously.
atyu mu king arap ku ing pakibat.,the answer was right in front of me.
tuki-tuki lang sinulagpo deng jet.,the jets took off one after another.
linawe miya ing masanting a dayatmalat.,we looked down at the beautiful sea.
tinikul ya king dalan ing metung a matwang babai.,an old woman limped along the street.
eka migaganaka. e lumbat ini.,don't worry. it won't take very long.
eka migaganaka.ena marapat pasibayu ini.,don't worry. this won't happen again.
makatatlu karakal ing panakita'na kesa kaku.,he earns three times as much as i do.
eku agawa ini nune king saup mu.,i couldn't do this without your help.
eku bisang luntong ipokritu.,i didn't want to appear hypocritical.
buri ku tambing kang magumpisa.,i want you to get started right away.
"nung manintun kang obra, awsan muku.","if you're looking for a job, call me."
ing pamangaylangan ing indu pamaglalang.,necessity is the mother of invention.
sabyan ku kang tom a eka malyare?,should i tell tom you're unavailable?
sabian mung pasibayu kaku nung ninung sumaup kekatamu.,tell me again who will be helping us.
alang sampagang tutubu king mars.,there are no flowers growing on mars.
minta ya king bale ku i tom nabengi.,tom came over to my house last night.
ena balung tom ot ala yu keni i mary.,tom doesn't know why mary isn't here.
atyu la king lande deng marinat nang imalang tom.,tom's dirty clothes are on the floor.
keng makadwa kami mako.,we're leaving the day after tomorrow.
keng makadwa tamu mako.,we're leaving the day after tomorrow.
nanung sinabi nang tom ketang milyari?,what did tom say about what happened?
kaylangan isumbung mu ini king pulis.,you should report this to the police.
lupa yang taganang maulaga ing rilo mu.,your watch seems to be very valuable.
lupa yang asnang kamal ing rilo mu.,your watch seems to be very valuable.
atin kang aisip a taung mas bage?,can you think of anyone more suitable?
atin kang balwat king kekang kahun kasangkapan?,do you have a crowbar in your toolbox?
ating maki prublema kanite?,does anybody have a problem with this?
balamu ditak la pamung tau deng mekapamasa na king libru.,few people seem to have read the book.
pilan lang tau deng makasake king bapor?,how many people are on board the ship?
mapagal nakung mabibyeng anti kanini.,i'm tired of living this kind of life.
memulayi la reng anak papunta king clasi.,the children ran toward the classroom.
memulayi la reng anak papunta king classroom.,the children ran toward the classroom.
"ena taganang sasaryan tom ita, ale?","tom doesn't really mean that, does he?"
malyaring atyu karin i tom. eku balu.,tom may have been there. i don't know.
miglwal yang pera i tom king kahun lamesa.,tom took some money out of the drawer.
"king palage mu, nukarin ngan miraras ing pera?",where do you think all the money goes?
"king palage mu, nukarin ngan miraras ing cualta?",where do you think all the money goes?
"sanung buri mu, kape o tsa?","which would you prefer, coffee or tea?"
"ing balu ku, talasawa ya pa i tom.","as far as i know, tom is still married."
atin nakang ikit metung man karene?,have you ever seen one of these before?
ala kung kabalu-bala nung nung nukarin na selikut tom ing pera.,i have no idea where tom hid the money.
kaylangan kung muli bayu dalumdum.,i have to get home before it gets dark.
sinabi ku ngan kang tom ing aisip ku.,i told tom everything i could think of.
maulagang tuparan mu ing kekang sinabi.,it is very important to keep your word.
siguru masanting a ala yu keni i tom.,maybe it's a good thing tom isn't here.
salamat king pamanagkat kaku king party.,thank you for inviting me to the party.
inabayan de reng pengari na ing anak a lalaki.,the boy was accompanied by his parents.
masaya ya ing mabilug a bangsa king balita.,the entire nation was glad at the news.
deni deng sapatus ku at deta deng keka.,these are my shoes and those are yours.
i tom namu ampo yaku ing atyu pa keni.,tom and i are the only ones still here.
mipag-tennis keng tom kanita.,tom and i used to play tennis together.
tutuki yang mamadwas i tom kang tata na kanita.,tom used to go fishing with his father.
ena gawang tom ing pepagawa ku kaya.,tom wouldn't do what i asked him to do.
magtaka kami nung nukarin ka ibat.,we've been wondering where you've been.
mekeni. atin kung buring pakit keka.,come here. i want to show you something.
king palage mu byasa yang munta karin i tom?,do you think tom knows how to get there?
seli ke ining libru king boston anyang milabasan a bulan.,i bought this book in boston last month.
eku balung ibat ka naman boston.,"i didn't know you were from boston, too."
atlu kung banwang menuknangan king boston.,i lived in boston for about three years.
dinatang ya i tom at dininan neng sobri i mary.,tom came in and handed mary an envelope.
malambat neng e susulat kaku i tom.,tom hasn't written to me in a long time.
linikas neng tom king pranses ing kontrata.,tom translated the contract into french.
manakit la king madalumdum deng pusa.,cats have the ability to see in the dark.
balu mung atin yang aliwang pakikitan i tom?,did you know tom was seeing someone else?
pepamunikala nang magumpisa keng tambing.,he proposed that we should start at once.
pepamunikala nang magumpisa tamung tambing.,he proposed that we should start at once.
pepawaga nang magumpisa keng tambing.,he proposed that we should start at once.
pepawaga nang magumpisa tamung tambing.,he proposed that we should start at once.
eku atatandanan nung nu ko binili deng susi ning kotsi ku.,i don't remember where i put my car keys.
buri ku mung abalu mung ligtas ya i tom.,i just want you to know that tom is safe.
sabian ku kaya king ustung panaun.,i will tell it to him at the proper time.
i tom ing sinabi kaku king milyari.,it was tom who told me what had happened.
paki-isplika mo kaku deng patakaran ning soccer.,please explain the rules of soccer to me.
"masikan yang memakbung ing ""time bomb"".",the time bomb exploded with a loud noise.
ditak la reng anak king kwartu.,there were few children in the classroom.
apisamut-samut mo reng miyayaliwang pamangan king blender.,you can mix different foods in a blender.
"sinabi mu na kang tom ing tutu, e wari?","you have told tom the truth, haven't you?"
ala yang gagawan nune manalbeng tv patingapun.,he does nothing but watch tv all day long.
meyari ya king matas a pipagaralan ngening kasibul.,he graduated from high school this spring.
eke man balu ing pilidu nang tom.,i don't even know what tom's last name is.
eku buri ing samantalanan daku.,i don't want them to take advantage of me.
eku bisang pasamantala karela.,i don't want them to take advantage of me.
mag-exercise ku uling bisa kung manatiling masanting katawan.,i exercise because i want to stay healthy.
mag-exercise ku uling bisa kung manatiling masanting mabulas.,i exercise because i want to stay healthy.
paraman daka nung makananu karakal a pera ing buri mu.,i will lend you as much money as you want.
e kaylangang tumagun king pulung ngeni i tom.,tom doesn't have to be at today's meeting.
gisan neng tom ing kape na at meko ya bang magobra.,tom finished his coffee and left for work.
bala nang tom atyu ku boston anyang milabasan a duminggu.,tom thinks that i was in boston last week.
pane keng mamyalung tennis neng sabadung abak.,we always play tennis on saturday morning.
pilan kaming oras mipamakibat tungkul king isulat.,we disputed for hours about what to write.
maygit nakeng atlung pulung banwang miyasawa.,we've been married more than thirty years.
nanung malyaring misnang kagrabi?,what's going to happen that's so terrible?
eka manakit asung mas maragul kesa kaniti.,you won't find a dog bigger than this one.
king palage mu bage kaku ing ating bigote?,do you think i'd look good with a mustache?
merakap ya uling penako na ing pera.,he was arrested because he stole the money.
datang ya keng gatpanapun ning a-singku.,he will arrive on the afternoon of the 5th.
eku balung e makaintinding pranses i tom.,i didn't know tom didn't understand french.
kaylangan kung abalu nung kapilan ya magbalak mako i tom.,i have to find out when tom plans to leave.
balamu e interesadu kanyan i tom.,it looks like tom isn't interested in that.
e re pa ikit deng pengari ku ing tau ku.,my parents still haven't met my girlfriend.
mikawani ya i tom ampo i mary kaybat nang mete ning anak dang lalaki.,tom and mary split up after their son died.
i tom mu kabud ing taung makasaup kaku ngeni.,tom is the only person who can help me now.
ginamit kaming mapa king byahi mi.,we made use of the maps during our journey.
sabyan tamu kang tom ing eganaganang kaylangan nang abalu.,we'll tell tom everything he needs to know.
numanu tamu keng tutuki tang bakasyun?,what should we do during our next vacation?
bisa ka pang patatas?,would you like another helping of potatoes?
makapagparla kang karagdagagan impormasyun king e-mail?,could you send me more information by email?
"tawli yang dinatang, anti ing maralas nang gagawan.","he came late, as is often the case with him."
eku bisang magobra nung makanyan ing kabilyan.,i don't want to work under these conditions.
sabi ku karela ala lang kaylangang gawan.,i told them they didn't have to do anything.
palako naku anyang tigtig ya ing timbre.,i was about to leave when the doorbell rang.
alus kasindagul ne ning grecia ing estado ning new york.,new york state is almost as large as greece.
"kwanan me ing pekaburi mu, anggyang sanu.","take the one you like best, whichever it is."
deta deng anak a dininan mung libru.,those are the children you gave the book to.
nanung kakanan nang tom neng minindal?,what does tom eat for a mid-afternoon snack?
pilan la pang bilungan deng basan mu pa?,how many more pages do you have left to read?
palage ku e masyadung makabaldugan kang tom ing regalu ku.,i don't think my gift meant very much to tom.
king palage ku eta miras boston bayu dalumdum.,i don't think we'll reach boston before dark.
e milyari ing dakal king karelang sinulat.,much of what they wrote about never happened.
gagawan de ing bayung tete.,the new bridge is in process of construction.
migdisisyun lang mandatun king karulun ning london.,they decided to settle in a suburb of london.
atlu yang oras king gym i tom napun.,tom was at the gym for three hours yesterday.
e lumbat misane kang mamangan pamangan apon.,you'll soon get used to eating japanese food.
gewa da reng doctor ing eganagana ba yang maulu.,doctors did everything they could to cure him.
eku balung sadya kang makatuknang king boston.,i didn't know that you used to live in boston.
ing pacifico ing pekamaragul a kadayatmalatan king yatu,the pacific is the largest ocean in the world.
balamu bangungut ing milyari king vietnam.,what happened in vietnam was like a bad dream.
"ating daratang a tsunami, anya sana magsadya kayu.","a tsunami is coming, so please be on the alert."
ing broccoli ing metung kareng pekamasanting a gule para keka.,broccoli is one of the best vegetables for you.
akilala ke ing tau ku ngeni king gym.,i got to know my current girlfriend at the gym.
minta la king mal a restoran bang maugtu.,they went to an expensive restaurant for lunch.
eraku inagkat di tom ampong king karelang kasal.,tom and mary didn't invite me to their wedding.
malinong masikan ya kapanamdaman kaniti i tom.,tom obviously feels very passionate about this.
titigtig yang pyanu i tom anyang mas anak ya pa.,tom used to play the piano when he was younger.
bisa ya pang maglambat pilang aldo i tom.,tom wanted to stick around for a few more days.
makatatlu la karakal deng libru ning kapatad kung babai kesa kaku.,my sister has three times as many books as i do.
ating helicopter a manaya kekatamu king bubungan.,there's a helicopter waiting for us on the roof.
eno ingatan masaleseng tom deng anak na.,tom doesn't take very good care of his children.
sana lumbat yang adwang duminggu i tom.,we hope tom sticks around for a couple of weeks.
nanung dapat mung gawan nung meket kang cobra?,what should you do if you are bitten by a cobra?
nanung paninapan mu anyang ginising daka?,what were you dreaming about when i woke you up?
mibulus ya kaybat ning limang banwang pangasukul.,he was set free after doing five years in prison.
ot karakal mu balu king kasalesayan ning japan?,how come you know so much about japanese history?
"king palage mu, pilan lareng hotel king boston?",how many hotels do you think there are in boston?
"taganang buri ke, oneng deng barkada na ali kula.","i really like him, but not his circle of friends."
payaus daka kaya kabud datang ya.,i will have him call you the moment he gets back.
isplika ku angga king agyu ku.,i'll try to explain it to the best of my ability.
komusta la reng lisyun mu king pranses?,how are you coming along with your french lessons?
mibulus ya kanu kaybat ning limang banwa king sukulan.,i hear he was released after five years in prison.
bisa kung mangasanting a sampaga king lamesa.,i want some beautiful flowers to put on the table.
buri ku ingatan me pamu i tom.,i want you to take care of tom for a little while.
"nung ating malyari, datang kami kilub ning atlung minutu.","if anything happens, we'll be in in three seconds."
sinilip ya i tom king pasbul ba nang akit ing malilyari.,tom peeked out the door to see what was happening.
eke pa mikit manibat anyang magaral kami.,we have not seen each other since our school days.
eku man balung sadya kang makatuknang king boston.,i didn't even know that you used to live in boston.
akalingwan kung sabian kang tom a eku balak munta karin.,i forgot to tell tom i wasn't planning to be there.
metung ku neng oras panayan ing kaluguran ku.,i've been waiting for a friend of mine for an hour.
"kareng adwang pulung istudyanti, metung ya mu ing mekabasa king libru.","out of twenty students, only one has read the book."
ene atatandanan tom ing lagyu ning mestra na anyang kindergarten.,tom can't remember his kindergarten teacher's name.
ene man tinext tom i mary a mitawli ya.,tom didn't even text mary to tell her he'd be late.
pasake ne king kotsi na i tom anyang mebaril ya.,tom was about to get into his car when he was shot.
ika ing pekamalagung babai king yatu.,you're the most beautiful woman in the whole world.
eta kakalingwan a e makaintinding pranses i tom.,let's not forget that tom doesn't understand french.
balamu kasing-idad me ing anak a lalaki banda karin.,that boy over there looks about the same age as you.
"kilkal ne bulsa ning pulis, oneng ala yang ikit.","the cop went through his pockets, but found nothing."
atin yang pakisabian i tom ngeni. makapanaya ka?,tom is talking with someone right now. can you wait?
siguru ena man apansinan tom a alayu keni i mary.,tom probably won't even notice that mary isn't here.
mete la ngan deng pasaherus anyang mibagsak ya ing eruplanu.,all the passengers were killed in the airplane crash.
akalingwan kong isara deng awang bayu minagyu.,i forgot to shutter the windows before the storm hit.
penyali nakung ima ku kaniting pyalungan anyang walu kung banwa.,my mom bought me this toy when i was eight years old.
mas dakal ing panakitan ning gubyernu kesa king kailangan na.,the government was earning more money than it needed.
mas dakal ing panakitan ning kapamahalan kesa king kailangan na.,the government was earning more money than it needed.
dakal la reng istudyanting e linub ngeni.,there were a lot of students absent from class today.
eno balung itratung masaleng tom deng empleyadu na.,tom doesn't know how to treat his employees properly.
eku pa minum beer neng ugtu.,i've never had a beer in the middle of the day before.
akakit me ing babaing makatikdo king gulut nang tom? i mary ita.,can you see the woman standing behind tom? that's mary.
obat karakal mu balu tungkul king kasalesayan ning hapon?,how is it that you know so much about japanese history?
"kinopya ne ning kaluguran ku ing kakung pagaralan bale, at abalu ning mestra.",my friend copied my homework and the teacher found out.
"kinopya ne ning kaluguran ku ing kakung pagaralan bale, at abalu ning talaturu.",my friend copied my homework and the teacher found out.
"keng tutuki mukung puntalan, pakit ke ing libru.","next time you come to see me, i will show you the book."
kapakibatan ning ima ing panugali dareng anak na.,a mother is responsible for the conduct of her children.
pareu nong miyari king matas a pipagaralan deng adwa kung anak.,both of my kids have already graduated from high school.
"enaku buring pakisabian ngeni, at eku balu nung bakit.","he doesn't want to talk to me now, and i don't know why."
ere apansinang linwal king kwartu.,he went out of the room without being noticed by anyone.
"king pyalung a ini, ere malyaring paldakan deng mamyalung ing bola.","in this game, players were not allowed to kick the ball."
kontra la king planu deng maygit kapitna kareng residenti.,more than half of the residents are opposed to the plan.
magkasakit keng magdisisyun nung sanung salwan.,we're finding it difficult deciding on which one to buy.
"nung alang dios, kaylangan yang imbentuan.","if god did not exist, it would be necessary to invent him."
aliwa mu i tom ing kaylangang magaral. angga yaku kaylangan.,"it's not only tom that has to study. i have to study, too."
inalben ko reng ayup king barkun kabang inuman ke ing kape ku.,i watched the birds on the balcony while drinking my coffee.
